well_name,api,longitude,latitude,filename,block_stats,well_status,well_type,closest_city
Atlanta Federal 8-6H,33-105-02725,"103°43'56.960""W","48°06'33.379""N",ocr_W23365,"[{'number': '329', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '668', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Kline Federal,33-053-06223,"103°36'11.38""W","48°4'27.84""N",ocr_W29242,"[{'number': '536', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '5 k', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Atlanta Federal,33-105-02728,"103°43'48.634""W","48°06'33.662""N",ocr_W23368,"[{'number': '305', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '639', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Chalmers 5300 21-19,33-053-06018,103° 36' 10.110 W,"90°03'27""S",ocr_W28633,"[{'number': '479', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '1.6 k', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Bray 5301 43-12H,33-053-03912,103° 36' 43.250 W,48° 4' 57.960 N,ocr_W20864,[],,,
Wade Federal 5300 21-30 12T,33-053-06129,103° 36' 11.410 W,"48°02'25.89""N",ocr_W28976,"[{'number': '483', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '4.9 k', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Atlanta Federal 10-6H,33-105-02723,"103°43'56.960""W","48°06'33.379""N",ocr_W23363,"[{'number': '645', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '1.1 k', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Atlanta Federal 9-6H,33-105-02724,"103°43'56.960""W","48°06'33.379""N",ocr_W23364,"[{'number': '349', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '697', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Chalmers 5301 44-24 4T2R,33-053-06011,,"48°03'20.49""N",ocr_W28600,[],,,
Magnum,33-053-03944,"103°36'18.604"" W","48°01'29.869"" N",ocr_W22249,[],,,
Tallahassee 2-16H,33-053-04854,103°40'11.681W,48°04'30.876N,ocr_W25158,"[{'number': '209', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '1.1 k', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Wade Federal,33-053-05906,103° 36' 11.410 W,48° 2' 32.780 N,ocr_W28303,"[{'number': '175', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '1.2 k', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Dahl 15-11H,33-063-03703,"103°38'09.239"" W",48°04'56.37S,ocr_W21266,[],,,
Chalmers Wade Federal,33-053-06012,,,ocr_W28601,"[{'number': '280', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '52', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Wade Federal 5300 41-30 4T,33-053-05943,103° 36' 11.410 W,48° 2' 32.460 N,ocr_W28394,[],,,
Chalmers 5300 31-19H,33-053-03472,103° 36' 9.410 W,48° 3' 26.470 N,ocr_W20407,[],,,
